SongNumber;SongID;AlbumID;AlbumName;ArtistID;ArtistName;Title;Year
1;b'SOVLGJY12A8C13FBED';223563;b'Call of the Mastodon';b'ARMQHX71187B9890D3';b'Mastodon';b'Deep Sea Creature';2001
2;b'SOMZWCG12A8C13C480';300848;b'Fear Itself';b'ARD7TVE1187B99BFB1';b'Casual';"bI Didn't Mean To""""";0
3;b'SOCIWDW12A8C13D406';300822;b'Dimensions';b'ARMJAGH1187FB546F3';b'The Box Tops';b'Soul Deep';1969
4;b'SOXVLOJ12AB0189215';514953;b'Las Numero 1 De La Sonora Santanera';b'ARKRRTF1187B9984DA';b'Sonora Santanera';b'Amor De Cabaret';0
5;b'SONHOTT12A8C13493C';287650;b'Friend Or Foe';b'AR7G5I41187FB4CE6C';b'Adam Ant';b'Something Girls';1982
6;b'SOFSOCN12A8C143F5D';611336;b'Muertos Vivos';b'ARXR32B1187FB57099';b'Gob';b'Face the Ashes';2007
7;b'SOYMRWW12A6D4FAB14';41838;b'Ordinary Day';b'ARKFYS91187B98E58F';b'Jeff And Sheri Easter';b'The Moon And I (Ordinary Day Album Version)';0
8;b'SOMJBYD12A6D4F8557';25824;b'Da Ghetto Psychic';b'ARD0S291187B9B7BF5';b'Rated R';b'Keepin It Real (Skit)';0
9;b'SOHKNRJ12A6701D1F8';8876;b'Gin & Phonic';b'AR10USD1187B99F3F1';b'Tweeterfriendly Music';b'Drop of Rain';0
10;b'SOIAZJW12AB01853F1';358182;b'Pink World';b'AR8ZCNI1187B9A069B';b'Planet P Project';b'Pink World';1984
11;b'SOUDSGM12AC9618304';692313;b'Superinstrumental';b'ARNTLGG11E2835DDB9';b'Clp';b'Insatiable (Instrumental Version)';0
12;b'SOQHXMF12AB0182363';539081;b'I Need You';b'ARGSJW91187B9B1D6B';b'JennyAnyKind';b'Young Boy Blues';0
13;b'SOKEJEJ12A8C13E0D0';163874;b'The Way Home';b'ARC43071187B990240';b'Wayne Watson';b'The Urgency (LP Version)';0
14;b'SOMUYGI12AB0188633';575792;b'Placer & Castigo';b'ARL7K851187B99ACD2';b'Andy Andy';b'La Culpa';0
15;b'SORAMLE12AB017C8B0';815863;b'Arrivederci';b'ARHHO3O1187B989413';b'Bob Azzam';b'Auguri Cha Cha';0
16;b'SOBONFF12A6D4F84D8';25811;b'Dancing On The Ceiling';b'ARIK43K1187B9AE54C';b'Lionel Richie';b'Tonight Will Be Alright';1986
17;b'SOHUOAP12A8AE488E9';135122;b'Outskirts';b'ARD842G1187B997376';b'Blue Rodeo';b'Floating';1987
18;b'SOUQQEA12A8C134B1B';149958;b'Cross Currents';b'ARIG6O41187B988BDD';b'Richard Souther';b'High Tide';0
19;b'SOILPQQ12AB017E82A';535188;b'Panjtan Ka Ghulam';b'AR1ZHYZ1187FB3C717';b'Faiz Ali Faiz';b'Sohna Nee Sohna Data';0
20;b'SOXLBJT12A8C140925';372309;b'Gold';b'ARYKCQI1187FB3B18F';b'Tesla';b'Caught In A Dream';2004
21;b'SOZVMJI12AB01808AF';541101;b'Whatever Happened To Boredom?';b'ARNPAGP1241B9C7FD4';b'lextrical';b'Synthetic Dream';0
22;b'SOWTBJW12AC468AC6E';605134;b'1942-1952 Jimmy Wakely';b'ARQGYP71187FB44566';b'Jimmy Wakely';b'Broken-Down Merry-Go-Round';0
23;b'SOBEBDG12A58A76D60';239740;b'All The Good Times';b'ARI3BMM1187FB4255E';b'Alice Stuart';b'Kassie Jones';0
24;b'SOZCTXZ12AB0182364';386995;b'Un cafe_ setanta matins';b'AR5KOSW1187FB35FF4';b'Elena';b'Setanta matins';0
25;b'SOBBUGU12A8C13E95D';223365;b'Miss Machine';b'ARMAC4T1187FB3FA4C';b'The Dillinger Escape Plan';b'Setting Fire to Sleeping Giants';2004
26;b'SOBLGCN12AB0183212';652784;b'Sue Thompson - Her Very Best';b'AR47JEX1187B995D81';b'SUE THOMPSON';b'James (Hold The Ladder Steady)';1985
27;b'SOPSWQW12A6D4F8781';45730;b'Live';b'ARGIWFO1187B9B55B7';b'Five Bolt Main';b'Made Like This (Live)';0
28;b'SOZQDIU12A58A7BCF6';672016;b'Strictly Confidential';b'ARNTLGG11E2835DDB9';b'Clp';b'Superconfidential';0
29;b'SONYPOM12A8C13B2D7';160881;b'The Real Twang Thang';b'ARDNS031187B9924F0';b'Tim Wilson';b'I Think My Wife Is Running Around On Me (Taco Hell)';2005
30;b'SOBZBAZ12A6D4F8742';59744;"bWillie Bobo's Finest Hour""""";b'AROUOZZ1187B9ABE51';b'Willie Bobo';b'Spanish Grease';1997
31;b'SOVYKGO12AB0187199';373723;b'Shake A Hand';b'ARH4Z031187B9A71F2';b'Faye Adams';b'Crazy Mixed Up World';1961
32;b'SOGNCJP12A58A80271';228326;b'Occasional Rain';b'ARB29H41187B98F0EF';b'Terry Callier';b'Do You Finally Need A Friend';1972
33;b'SOLLHMX12AB01846DC';463514;b'The Emperor Falls';b'AR1Y2PT1187FB5B9CE';b'John Wesley';b'The Emperor Falls';0
34;b'SOYTPEP12AB0180E7B';643400;b'Best of The Shangri-Las';b'ARAJPHH1187FB5566A';b'The Shangri-Las';b'Twist and Shout';1964
35;b'SOGXHEG12AB018653E';663761;b'20 Of Her Best';b'AR0RCMP1187FB3F427';b'Billie Jo Spears';b'It Makes No Difference Now';1992
36;b'SOOLYAZ12A6701F4A6';12882;b'Who Is Mike Jones?';b'AREBBGV1187FB523D2';"bMike Jones (Featuring CJ_ Mello & Lil' Bran)""""";b'Laws Patrolling (Album Version)';0
37;b'SOGOSOV12AF72A285E';270281;b'Tibiri Tabara';b'ARGUVEV1187B98BA17';b'Sierra Maestra';b'\xc2\xbfD\xc3\xb3nde va Chichi?';1997
38;b'SOJXVAH12A8C139700';244586;b'Piouhgd + Widowermaker!';b'ARPQ4Z01187FB3A736';b'Butthole Surfers';"b'Barking Dogs (From Piouhgd"")'""";0
39;b'SOVXMTN12A8C135A18';157648;b'Profities';b'ARNQAVF11F4C844C04';b'Despina Vandi';b'OUTE ENA EFHARISTO';0
40;b'SORSECL12AB0182267';644631;b'Cracks';b'ARXUT4W1187FB48BEB';b'Javier Navarrete';b'Midnight Swim';0
41;b'SOOGFBZ12AC3DF7FF2';730551;b'Pieces Of Time';b'ARDD1RC1187B9B52B4';b'Jacob Young';b'In A Subtle Way';0
42;b'SOMSBGZ12AB018C4CB';709879;b'The Palest Grey';b'ARLGWFM1187FB4AC9F';"bScarlet's Remains""""";b'Spin';2007
43;b'SONYRZV12AB018AF70';706005;b'A Match & Some Gasoline';b'ARWYVP51187B98C516';b'The Suicide Machines';b'Burning In The Aftermath';2003
44;b'SONQBUB12A6D4F8ED0';42595;"bJump Back - The Best Of The Rolling Stones_ '71-'93""""";b'ARFCUN31187B9AD578';b'The Rolling Stones';b'Angie (1993 Digital Remaster)';0
45;b'SOHGKJW12AC468A8BD';782470;b'Lo Mejor con La Orq. Broadway';b'AR6YDKV1187B989230';b'Roberto Torres';b'Sabor Guajiro';0
46;b'SOINBCU12A6D4F94C0';28723;b'Grown Man';b'ARV1JVD1187B9AD195';b'Loudon Wainwright III';b'Human Cannonball';1995
47;b'SOTWVQT12A58A79650';557761;b'A Bothered Mind';b'AR7TTS41187B9B42D3';b'R.L. Burnside';b'Glory Be';2004
48;b'SOTSEJY12AB0180F56';417945;b'Greatest Hits';b'ART3O5Z1187B9AB043';b'Stevie Ray Vaughan';b'Crossfire';1992
